nome_bairro,nome_regiao_regioes_id
Vila Miguel Couto (parte),CENTRO
Jardim Alegre (parte),CENTRO
Desmembramento Chácara Vendas,CENTRO
Jardim Ibirapuera (parte),CENTRO
Chácara Boa Vista,CENTRO
Villa Di Parma,CENTRO
Itanhangá,CENTRO
Itanhangá Park,CENTRO
Jardim Piracicaba,CENTRO
Vila Gatão,CENTRO
Vila Rosa Pires,CENTRO
Vila Dr. João Rosa,CENTRO
Vila Rezende,CENTRO
Jardim Vista Alegre,CENTRO
Vila Joselito,CENTRO
Coophamorena,CENTRO
Desmembramento Glaucos da Costa Marques,CENTRO
São Bento,CENTRO
Jardim São Bento,CENTRO
Vila Nova São Bento,CENTRO
Jardim Guarujá,CENTRO
Vila Galvão,CENTRO
Monte Líbano,CENTRO
Jardim Monte Líbano,CENTRO
Vila Santo André,CENTRO
Jardim de Allah,CENTRO
Vila Antônio Inácio de Souza,CENTRO
Glória,CENTRO
Vila Glória,CENTRO
Vila Fortuna,CENTRO
Vila Eva,CENTRO
Vila Oriente,CENTRO
Vila Gaspar,CENTRO
Vila Taveira,CENTRO
Vila Sol Nascente,CENTRO
Vila Ornelas,CENTRO
Vila Santa Filomena,CENTRO
Vila São Miguel,CENTRO
Vila Castelo,CENTRO
Vila Jardim Alvorada,CENTRO
Vila Liberdade,CENTRO
Vila Santa Dorothea,CENTRO
Carvalho,CENTRO
Vila Carvalho,CENTRO
Vila Nossa Senhora de Lourdes,CENTRO
Vila São José,CENTRO
Vila Santa Maria,CENTRO
Vila Quito,CENTRO
Vila Carvalho Baís,CENTRO
Desmembramento Emílio Cury,CENTRO
Vila São Rafael,CENTRO
Vila Oliveira,CENTRO
Vila Americana,CENTRO
Vila Santa Luiza,CENTRO
Amambaí,CENTRO
Vila Perseverança,CENTRO
Vila Maracajú,CENTRO
Vila Guenka,CENTRO
Vila São João,CENTRO
Vila Santo Antônio,CENTRO
Vila Olga,CENTRO
Vila Barão do Rio Branco,CENTRO
Vila Aurora,CENTRO
Vila Warde,CENTRO
Vila Floresta,CENTRO
Vila Portão de Ferro,CENTRO
Vila Orpheu Baís,CENTRO
Vila São Vicente,CENTRO
Cohasmat (Sargento Amaral),CENTRO
Cabreúva,CENTRO
