"id","nome_bairro","nome_regiao_regioes_id"
1065,Jardim Antarctica,LAGOA
1066,Vila Ouro Fino,LAGOA
1067,Jardim Tatiana,LAGOA
1068,Vila Ospampas,LAGOA
1069,Loteamento Bonjardim,LAGOA
1070,Núcleo Habitacional Buriti,LAGOA
1071,Alto Leblon,LAGOA
1072,São Conrado,LAGOA
1073,Jardim São Conrado ,LAGOA
1074,Jardim Santa Emília,LAGOA
1075,Loteamento Municipal Interpraia,LAGOA
1076,Vila Major Juares,LAGOA
1077,Residencial Aquárius I,LAGOA
1078,Residencial Aquárius II,LAGOA
1079,Tijuca,LAGOA
1080,Jardim Tijuca,LAGOA
1082,Jardim dos Boggi,LAGOA
1083,Vila Vilma,LAGOA
1084,São Pedro,LAGOA
1085,Jardim Verdes Mares,LAGOA
1086,Residencial Barra da Tijuca,LAGOA
1087,Residencial Barra da Tijuca II,LAGOA
1088,Caiobá,LAGOA
1089,Portal Caiobá,LAGOA
1090,Portal Caiobá II,LAGOA
1091,Rancho Alegre II,LAGOA
1092,Vila Fernanda,LAGOA
1093,Rivieira Park,LAGOA
1094,Jardim Rancho Alegre I,LAGOA
1095,Bela Laguna,LAGOA
1096,Batistão,LAGOA
1097,Jardim Batistão,LAGOA
1098,São Jorge da Lagoa,LAGOA
1099,Jardim Mato Grosso,LAGOA
1100,Conjunto Residencial Serra Azul,LAGOA
1101,Lagoa Park,LAGOA
1102,Jardim Villa Lobos,LAGOA
1103,Jardim Villa Lobos II,LAGOA
1104,Coophavila II,LAGOA
1105,Jardim Vila Kellem,LAGOA
1106,Jardim Ouro Verde  ,LAGOA
1107,Favela Tarumã,LAGOA
1108,Tarumã,LAGOA
1109,Jardim Tarumã,LAGOA
1110,Conjunto Residencial Tarumã,LAGOA
1111,Portal das Laranjeiras,LAGOA
1112,Jardim Sol Poente,LAGOA
1113,Jardim Corcovado,LAGOA
1114,Vila Jandaia,LAGOA
1115,Arapongas,LAGOA
1116,Sobrinho,IMBIRUSSU
1117,Vila Sobrinho,IMBIRUSSU
1118,Vila Acrópolis,IMBIRUSSU
1119,Vila Santa Rita,IMBIRUSSU
1120,Vila Rosalina,IMBIRUSSU
1121,Vila Nossa Senhora Auxiliadora,IMBIRUSSU
1122,Cophaco,IMBIRUSSU
1123,Parque dos Ipês,IMBIRUSSU
1124,Jardim Leonidia,IMBIRUSSU
1125,Coopermat,IMBIRUSSU
1126,Vila Alba,IMBIRUSSU
1127,Vila Espanhola,IMBIRUSSU
1128,Jardim Ipanema,IMBIRUSSU
1129,Vila Duque de Caxias,IMBIRUSSU
1130,Vila Cinamomo,IMBIRUSSU
1131,Lar do Trabalhador,IMBIRUSSU
1132,Residencial Parque dos Flamingos,IMBIRUSSU
1133,Vila Aviação,IMBIRUSSU
1134,Parque São Domingos,IMBIRUSSU
1135,Vila Oeste ,IMBIRUSSU
1136,Loteamento Papa João Paulo II,IMBIRUSSU
1137,Santo Amaro,IMBIRUSSU
1138,Vila Santo Amaro,IMBIRUSSU
1139,Vila Jardim Beija-Flor,IMBIRUSSU
1140,Parque dos Laranjais ,IMBIRUSSU
1141,Manoel Taveira ,IMBIRUSSU
1142,Santa Carmélia,IMBIRUSSU
1143,Jardim Itapuã,IMBIRUSSU
1144,Coophatrabalho,IMBIRUSSU
1145,Vila Dr. Jair Garcia,IMBIRUSSU
1146,Jardim Canadá,IMBIRUSSU
1147,Vila São Marcos,IMBIRUSSU
1148,Vila Almeida ,IMBIRUSSU
1149,Vila Palmira,IMBIRUSSU
1150,Jardim Mandala,IMBIRUSSU
1151,Residencial Sírio Libanês I,IMBIRUSSU
1152,Residencial Sírio Libanês II,IMBIRUSSU
1153,Jardim das Virtudes ,IMBIRUSSU
1154,Residencial Hugo Rodrigues,IMBIRUSSU
1155,Santo Antônio,IMBIRUSSU
1156,Jardim Imá,IMBIRUSSU
1157,Vila Nova,IMBIRUSSU
1158,Loteamento Municipal Jaguaribe,IMBIRUSSU
1159,Vila Doriza,IMBIRUSSU
1160,Jardim Petrópolis ,IMBIRUSSU
1161,Vila Bosque da Saudade,IMBIRUSSU
1162,Vila Coutinho,IMBIRUSSU
1163,Vila Sílvia Regina,IMBIRUSSU
1164,Panamá,IMBIRUSSU
1165,Jardim Panamá,IMBIRUSSU
1166,Jardim Panamá II,IMBIRUSSU
1167,Jardim Panamá III,IMBIRUSSU
1168,Jardim Panamá IV,IMBIRUSSU
1169,Jardim Panamá V,IMBIRUSSU
1170,Jardim Panamá VI,IMBIRUSSU
1171,Parque Residencial dos Bancários,IMBIRUSSU
1172,Residencial Sagarana,IMBIRUSSU
1173,Jardim Aroeira,IMBIRUSSU
1174,Recanto dos Pássaros,IMBIRUSSU
1175,Jardim do Zé Pereira,IMBIRUSSU
1176,Residencial Ana Maria do Couto,IMBIRUSSU
1177,Parque Residencial Bellinate,IMBIRUSSU
1178,Residencial Búzios,IMBIRUSSU
1179,Portal do Panamá,IMBIRUSSU
1180,Jardim Mathilde,IMBIRUSSU
1181,Bosque das Araras,IMBIRUSSU
1182,Popular,IMBIRUSSU
1183,Nova Campo Grande Bloco 11,IMBIRUSSU
1184,Nova Campo Grande Bloco  ,IMBIRUSSU
1185,Jardim das Reginas,IMBIRUSSU
1186,Loteamento Municipal Macaé,IMBIRUSSU
1187,Jardim Sayonara,IMBIRUSSU
1188,Jardim Pantanal,IMBIRUSSU
1189,Jardim Aeroporto,IMBIRUSSU
1190,Jardim Itália,IMBIRUSSU
1191,Bosque Santa Mônica,IMBIRUSSU
1192,Bosque Santa Mônica II,IMBIRUSSU
1193,Vila Romana,IMBIRUSSU
1194,Nova Campo Grande,IMBIRUSSU
1195,Nova Campo Grande Bloco 01,IMBIRUSSU
1196,Nova Campo Grande Bloco 02,IMBIRUSSU
1197,Nova Campo Grande Bloco 03,IMBIRUSSU
1198,Nova Campo Grande Bloco 04,IMBIRUSSU
1199,Nova Campo Grande Bloco 05,IMBIRUSSU
1200,Nova Campo Grande Bloco 06,IMBIRUSSU
1201,Nova Campo Grande Bloco 07,IMBIRUSSU
1202,Nova Campo Grande Bloco 08,IMBIRUSSU
1203,Vila Eliane ,IMBIRUSSU
1204,Vila Serradinho,IMBIRUSSU
1205,Jardim Carioca,IMBIRUSSU
1206,Residencial Nelson Trad,IMBIRUSSU
1207,Núcleo Industrial,IMBIRUSSU
1208,Jardim Inápolis,IMBIRUSSU
1209,Vila Manoel Secco Thomé,IMBIRUSSU
1210,Vila Entroncamento ,IMBIRUSSU
1211,Pólo Empresarial Oeste,IMBIRUSSU
1212,Morada Imperial,IMBIRUSSU
1213,Bairro Jardim Paulista,BANDEIRA
1214,Jardim Paulista,BANDEIRA
1215,Vila Progresso,BANDEIRA
1216,Bairro TV Morena,BANDEIRA
1217,Jardim TV Morena,BANDEIRA
1218,Jardim Paulista ,BANDEIRA
1219,Paranaense ,BANDEIRA
1220,Vila Carlota ,BANDEIRA
1221,Vila Vilasboas,BANDEIRA
1222,Jardim Alegre ,BANDEIRA
1223,Vila Portinho Frederico Pache ,BANDEIRA
1224,Indiana Park,BANDEIRA
1225,Jardim Mansur,BANDEIRA
1226,Jardim Auxiliadora ,BANDEIRA
1227,Jardim Ipanema ,BANDEIRA
1228,Parque Dallas,BANDEIRA
1229,Residencial Vila Olímpica,BANDEIRA
1230,Villas Park Residence,BANDEIRA
1231,Amantini Residence,BANDEIRA
1232,São Lourenço,BANDEIRA
1233,Jardim São Lourenço,BANDEIRA
1234,Jardim Ibirapuera ,BANDEIRA
1235,Vila Almeida Lima,BANDEIRA
1236,Vila Zoe,BANDEIRA
1237,Vila Antônio Vendas,BANDEIRA
1238,Tiradentes Suplemento,BANDEIRA
1239,Tiradentes ,BANDEIRA
1240,Residencial Nova Tiradentes,BANDEIRA
1241,Jardim Flamboyant,BANDEIRA
1242,Jardim Flamboyant II,BANDEIRA
1243,Desbarrancado ,BANDEIRA
1244,Parque Residencial Arnaldo Estevão de Figueiredo,BANDEIRA
1245,Parque Residencial Arnaldo Estevão de Figueiredo II,BANDEIRA
1246,Loteamento Municipal Dalva de Oliveira,BANDEIRA
1247,Loteamento Municipal Dalva de Oliveira II,BANDEIRA
1248,Loteamento Municipal Cavan,BANDEIRA
1249,Núcleo Tiradentes,BANDEIRA
1250,Regina,BANDEIRA
1251,Residencial Itatiaia,BANDEIRA
1252,Vila Jardim São Bernardo,BANDEIRA
1253,Jardim Vitória,BANDEIRA
1254,Parque Residencial Anhembi,BANDEIRA
1255,Loteamento Portobello,BANDEIRA
1256,Loteamento Marçal de Souza,BANDEIRA
1257,Jardim Cristo Redentor,BANDEIRA
1258,Loteamento Estrela Parque,BANDEIRA
1259,Jardim São Judas Tadeu,BANDEIRA
1260,Jardim Jerusalém,BANDEIRA
1261,Parque Residencial Maria Aparecida Pedrossian,BANDEIRA
1262,Panorama,BANDEIRA
1263,Vivendas do Parque,BANDEIRA
1264,Jardim Samambaia,BANDEIRA
1265,Residencial Oiti,BANDEIRA
1266,Núcleo Panorama,BANDEIRA
1267,Parque Residencial Damha,BANDEIRA
