"id","nome_bairro","nome_regiao_regioes_id"
1535,Vila Lucinda,PROSA
1536,Conjunto Residencial Novo Pernambuco,PROSA
1537,Vila Abdalla,PROSA
1538,Jardim Cabral,PROSA
1539,Conjunto Residencial Nova Ipanema,PROSA
1540,Vila,PROSA
1541,Vila Catarina,PROSA
1542,Conjunto Residencial Novo Rio Grande do Sul,PROSA
1543,Desbarrancado,PROSA
1544,Vila Telma,PROSA
1545,Miguel Couto,PROSA
1546,Vila Catarina II,PROSA
1547,Conjunto Residencial Novo Maranhão,PROSA
1548,Jardim Arco-Íris,PROSA
1549,Vila Raquel,PROSA
1550,Vivendas do Bosque,PROSA
1551,Vila Manoel da Costa Lima,PROSA
1552,Conjunto Residencial Novo Sergipe,PROSA
1553,Loteamento Bosque,PROSA
1554,Vila Sônia,PROSA
1555,Jardim Umuarama,PROSA
1556,Cidade Jardim,PROSA
1557,San Marino Park,PROSA
1558,Nahima Park,PROSA
1559,Altos da Afonso Pena,PROSA
1560,Carandá,PROSA
1561,Carandá Bosque II,PROSA
1562,Carandá Bosque III,PROSA
1563,Golden Gate Park,PROSA
1564,Portal Itayara,PROSA
1565,Vila do Polonês,PROSA
1566,Tayamã Park,PROSA
1567,Vila Nascente,PROSA
1568,Loteamento Copacabana,PROSA
1569,Loteamento Municipal Mário,PROSA
1570,Conjunto Residencial Novo São Paulo,PROSA
1571,Conjunto Residencial Novo Alagoas,PROSA
1572,Conjunto Residencial Novo Minas Gerais,PROSA
1573,Conjunto Residencial Novo Paraná,PROSA
1574,Jardim Jacarandá,PROSA
1575,Alphaville Campo Grande,PROSA
1576,Alphaville Campo Grande II,PROSA
1577,Alphaville Campo Grande III e Alphaville Campo Grande IV,PROSA
1578,Estrela Dalva,PROSA
1579,Jardim Estrela Dalva I,PROSA
1580,Jardim Estrela Dalva II,PROSA
1581,Jardim Estrela,PROSA
1582,Noroeste,PROSA
1583,Jardim Noroeste,PROSA
1584,Loteamento Nova Serrana,PROSA
1585,Serraville,PROSA
1586,Centro,CENTRO
1587,Cidade,CENTRO
1588,Vila Alta,CENTRO
1589,Vila General Wolfgrand,CENTRO
1590,Vila América,CENTRO
1591,Vila Ilgenfritz,CENTRO
1592,Vila Clementina,CENTRO
1593,Jardim Aclimação ,CENTRO
1594,Vila Bartiria,CENTRO
1595,São Francisco,CENTRO
1596,Vila São Francisco,CENTRO
1597,Vila Helena,CENTRO
1598,Vila Anfe,CENTRO
1599,Vila Cristina,CENTRO
1600,Vila São Sebastião,CENTRO
1601,Vila Aprazível,CENTRO
1602,Jardim Cidade,CENTRO
1603,Jardim Brasil,CENTRO
1604,Vila Alto das Paineiras,CENTRO
1605,Desmembramento Sanziro Katayama,CENTRO
1606,Vila São Thomé,CENTRO
1607,Vila Capri,CENTRO
1608,Vila Benjamim,CENTRO
1609,Nossa Senhora de Fátima ,CENTRO
1610,Monte Castelo ,CENTRO
1611,Vila Esplanada,CENTRO
1612,Vila São Luís,CENTRO
1613,Cofermat,CENTRO
1614,Vila Santa Bárbara,CENTRO
1615,Vila Lídia ,CENTRO
1616,Cascudo,CENTRO
1617,Cruzeiro,CENTRO
1618,Clube Campestre Ypê,CENTRO
1619,Coronel Antonino ,CENTRO
1620,Vila Rosa,CENTRO
1621,Vila Marman,CENTRO
1622,Vila Gomes,CENTRO
1623,Vila Célia,CENTRO
1624,Vila Sílvia,CENTRO
1625,Coophagrande (Conjunto Eudes Costa),CENTRO
1626,Vila Suíça,CENTRO
1627,Conjunto Residencial Monte Castelo,CENTRO
1628,Coophaban,CENTRO
1629,Jardim dos Estados,CENTRO
1630,Vila Santa Odete,CENTRO
1631,Vila Guaraciaba,CENTRO
1632,Vila Tupaceretan,CENTRO
1633,Vila Esportiva,CENTRO
1634,Vila XV de Novembro,CENTRO
1635,Jardim 7 de Setembro,CENTRO
1636,Vila Mandeta,CENTRO
1638,Vila São Jorge,CENTRO
1639,Cachoeira,CENTRO
1640,Vila Onze,CENTRO
1641,Vila São Gabriel,CENTRO
1642,Vila Mariana,CENTRO
1643,Vila Bernardo Goldman,CENTRO
1644,Vila Isís,CENTRO
1645,Vila Abdo,CENTRO
1646,Vila Alto Campo de Marte,CENTRO
1647,Vila Santério,CENTRO
1648,Vila da Saúde,CENTRO
1649,Vila Paulistana,CENTRO
1650,Vila Paraíso,CENTRO
1651,Vila Paraíso Suplemento,CENTRO
1652,Vila São Elias,CENTRO
1653,Vila Lia,CENTRO
1654,Chácara dos Coqueiros,CENTRO
1655,Vila Rolim,CENTRO
1656,Desmembramento Clara Goldman,CENTRO
1657,Desmembramento Hugo Zapata,CENTRO
1658,Vila Santos Gomes ,CENTRO
1659,Vila Suburbano,CENTRO
1660,Vila Sant’ana,CENTRO
1661,Vila Maria,CENTRO
1662,Chácara Cachoeira ,CENTRO
1663,Bela Vista,CENTRO
1664,Jardim Bela Vista,CENTRO
1665,Vila Costa Lima,CENTRO
1666,Jardim Santa Catarina,CENTRO
1667,Chácara Vendas,CENTRO
1668,Jardim Nova Era,CENTRO
1669,Residencial Village,CENTRO
1670,Vila Antônio Vendas ,CENTRO
1671,Desmembramento Antônio Vendas,CENTRO
1672,Vila Miguel Couto ,CENTRO
1673,Desmembramento Chácara Vendas,CENTRO
1674,Chácara Boa Vista,CENTRO
1675,Villa Di Parma,CENTRO
1676,Itanhangá,CENTRO
1677,Itanhangá Park,CENTRO
1678,Jardim Piracicaba,CENTRO
1679,Vila Gatão,CENTRO
1680,Vila Rosa Pires,CENTRO
1681,Vila Dr. João Rosa,CENTRO
1682,Vila Rezende,CENTRO
1683,Jardim Vista Alegre,CENTRO
1684,Vila Joselito,CENTRO
1685,Coophamorena,CENTRO
1686,Desmembramento Glaucos da Costa Marques,CENTRO
1687,São Bento,CENTRO
1688,Jardim São Bento,CENTRO
1689,Vila Nova São Bento,CENTRO
1690,Jardim Guarujá,CENTRO
1691,Vila Galvão,CENTRO
1692,Monte Líbano,CENTRO
1693,Jardim Monte Líbano,CENTRO
1694,Vila Santo André,CENTRO
1695,Jardim de Allah,CENTRO
1696,Vila Antônio Inácio de Souza,CENTRO
1697,Glória,CENTRO
1698,Vila Glória,CENTRO
1699,Vila Fortuna,CENTRO
1700,Vila Eva,CENTRO
1701,Vila Oriente,CENTRO
1702,Vila Gaspar,CENTRO
1703,Vila Taveira,CENTRO
1704,Vila Sol Nascente,CENTRO
1705,Vila Ornelas,CENTRO
1706,Vila Santa Filomena,CENTRO
1707,Vila São Miguel,CENTRO
1708,Vila Castelo,CENTRO
1709,Vila Jardim Alvorada,CENTRO
1710,Vila Liberdade,CENTRO
1711,Vila Santa Dorothea,CENTRO
1712,Carvalho,CENTRO
1713,Vila Carvalho,CENTRO
1714,Vila Nossa Senhora de Lourdes,CENTRO
1715,Vila São José,CENTRO
1716,Vila Santa Maria,CENTRO
1717,Vila Quito,CENTRO
1718,Vila Carvalho Baís,CENTRO
1719,Desmembramento Emílio Cury,CENTRO
1720,Vila São Rafael,CENTRO
1721,Vila Oliveira,CENTRO
1722,Vila Americana,CENTRO
1723,Vila Santa Luiza,CENTRO
1724,Amambaí,CENTRO
1725,Vila Perseverança,CENTRO
1726,Vila Maracajú,CENTRO
1727,Vila Guenka,CENTRO
1728,Vila São João,CENTRO
1729,Vila Santo Antônio,CENTRO
1730,Vila Olga,CENTRO
1731,Vila Barão do Rio Branco,CENTRO
1732,Vila Aurora,CENTRO
1733,Vila Warde,CENTRO
1734,Vila Floresta,CENTRO
1735,Vila Portão de Ferro,CENTRO
1736,Vila Orpheu Baís,CENTRO
1737,Vila São Vicente,CENTRO
1738,Cohasmat (Sargento Amaral),CENTRO
1739,Cabreúva,CENTRO
1740,Vila Feliciana Carolina ,CENTRO
1741,Vila Santa Rosa ,CENTRO
1742,Vila Marisa,CENTRO
1743,Vila Guarani,CENTRO
1744,Vila Independência,CENTRO
1745,Planalto,CENTRO
1746,Vila Planalto,CENTRO
1747,Vila Soares,CENTRO
1748,Vila São Manoel,CENTRO
1749,Vila Santa Tereza,CENTRO
1750,Vila Estephania,CENTRO
1751,Vila Alto Sumaré,CENTRO
1752,Vila Corumbá,CENTRO
1753,Vila Santos,CENTRO
1754,Vila Boa Vista,CENTRO
1755,Monte Verde,CENTRO
1756,Colinas de Campo Grande,CENTRO
1757,Sky Residence,CENTRO
1758,Vila Vilas Boas,BANDEIRA
